WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_precision,kaithrun_precision,livsglaedjen_precision,saschalobo_precision,schminktante_precision,spreemieze_precision,precision-avg
1,0,0,0,0,0,0,0,0,0,0,0,0.30434782608695654,0.38095238095238093,0.6,0.47368421052631576,0.3157894736842105,0.19047619047619047,0.3775416802876757
0,1,0,0,0,0,0,0,0,0,0,0,0.36,0.29545454545454547,0.2571428571428571,0.5862068965517241,0.22,0.22727272727272727,0.324346171070309
1,1,0,0,0,0,0,0,0,0,0,0,0.36923076923076925,0.2898550724637681,0.38,0.5869565217391305,0.2318840579710145,0.21739130434782608,0.345886287625418
0,0,1,0,0,0,0,0,0,0,0,0,0.3116883116883117,0.21739130434782608,0.2235294117647059,0.421875,0.1956521739130435,0.2077922077922078,0.2629880682510158
1,0,1,0,0,0,0,0,0,0,0,0,0.2962962962962963,0.25,0.24074074074074073,0.2672413793103448,0.21359223300970873,0.23376623376623376,0.2502728138538874
0,1,1,0,0,0,0,0,0,0,0,0,0.26229508196721313,0.2620689655172414,0.21311475409836064,0.31724137931034485,0.3333333333333333,0.22131147540983606,0.2682274982727216
1,1,1,0,0,0,0,0,0,0,0,0,0.23404255319148937,0.25748502994011974,0.2695035460992908,0.2754491017964072,0.36363636363636365,0.2198581560283688,0.2699957917820066
0,0,0,1,0,0,0,0,0,0,0,0,0.22580645161290322,0.2471264367816092,0.25161290322580643,0.26436781609195403,0.31746031746031744,0.2619047619047619,0.2613797811795587
1,0,0,1,0,0,0,0,0,0,0,0,0.2159090909090909,0.2459016393442623,0.2215909090909091,0.25136612021857924,0.29931972789115646,0.20454545454545456,0.23977215699990873
0,1,0,1,0,0,0,0,0,0,0,0,0.2028985507246377,0.24154589371980675,0.18840579710144928,0.30857142857142855,0.25142857142857145,0.24571428571428572,0.2397607545433632
1,1,0,1,0,0,0,0,0,0,0,0,0.21962616822429906,0.25892857142857145,0.4642857142857143,0.3350253807106599,0.2436548223350254,0.233502538071066,0.292503865842556
0,0,1,1,0,0,0,0,0,0,0,0,0.23430962343096234,0.24302788844621515,0.46017699115044247,0.30985915492957744,0.27699530516431925,0.2151394422310757,0.2899180675587654
1,0,1,1,0,0,0,0,0,0,0,0,0.21374045801526717,0.2773109243697479,0.18705035971223022,0.2920353982300885,0.27876106194690264,0.20503597122302158,0.24232236224954304
0,1,1,1,0,0,0,0,0,0,0,0,0.2264808362369338,0.28793774319066145,0.1916376306620209,0.27848101265822783,0.2869198312236287,0.21543408360128619,0.2478151895954598
1,1,1,1,0,0,0,0,0,0,0,0,0.21103896103896103,0.30141843971631205,0.19642857142857142,0.2619047619047619,0.30158730158730157,0.2113095238095238,0.24728125991423863
0,0,0,0,1,0,0,0,0,0,0,0,0.21103896103896103,0.2973856209150327,0.19883040935672514,0.26171875,0.3046875,0.20760233918128654,0.2468772634153342
1,0,0,0,1,0,0,0,0,0,0,0,0.18478260869565216,0.29354838709677417,0.1956521739130435,0.28205128205128205,0.2967032967032967,0.20380434782608695,0.24275701604768926
0,1,0,0,1,0,0,0,0,0,0,0,0.19642857142857142,0.2822085889570552,0.19387755102040816,0.2222222222222222,0.29432624113475175,0.19642857142857142,0.23091529103193
1,1,0,0,1,0,0,0,0,0,0,0,0.19901719901719903,0.26822157434402333,0.18673218673218672,0.2976588628762542,0.28762541806020064,0.20147420147420148,0.24012157375067755
0,0,1,0,1,0,0,0,0,0,0,0,0.19331742243436753,0.2724867724867725,0.18854415274463007,0.2807570977917981,0.305993690851735,0.20763723150357996,0.24145606130214717
1,0,1,0,1,0,0,0,0,0,0,0,0.2088167053364269,0.2769607843137255,0.2085201793721973,0.2672672672672673,0.3183183183183183,0.19955156950672645,0.24657247068577695
0,1,1,0,1,0,0,0,0,0,0,0,0.21956521739130436,0.2785388127853881,0.20261437908496732,0.22146118721461186,0.332378223495702,0.2113289760348584,0.24431446600113868
1,1,1,0,1,0,0,0,0,0,0,0,0.2112970711297071,0.27450980392156865,0.2217573221757322,0.20711297071129708,0.33156498673740054,0.2112970711297071,0.2429232043009021
0,0,0,1,1,0,0,0,0,0,0,0,0.2125506072874494,0.2703862660944206,0.21272365805168986,0.20647773279352227,0.31725888324873097,0.20874751491053678,0.23802411039772498
1,0,0,1,1,0,0,0,0,0,0,0,0.21442495126705652,0.2669491525423729,0.2045889101338432,0.25961538461538464,0.31009615384615385,0.20650095602294455,0.24369591807129262
0,1,0,1,1,0,0,0,0,0,0,0,0.2188679245283019,0.2630480167014614,0.1963302752293578,0.26590909090909093,0.29545454545454547,0.20733944954128442,0.24115821706067364
1,1,0,1,1,0,0,0,0,0,0,0,0.22,0.23893805309734514,0.42528735632183906,0.279826464208243,0.29067245119305857,0.20530973451327433,0.27667234322229334
0,0,1,1,1,0,0,0,0,0,0,0,0.2264808362369338,0.2327150084317032,0.42366412213740456,0.2698744769874477,0.303347280334728,0.21247892074198987,0.2780934408117012
1,0,1,1,1,0,0,0,0,0,0,0,0.21996615905245348,0.28107074569789675,0.19298245614035087,0.2616632860040568,0.31237322515212984,0.20574162679425836,0.24563291647352437
0,1,1,1,1,0,0,0,0,0,0,0,0.22439024390243903,0.285451197053407,0.18333333333333332,0.25595238095238093,0.31547619047619047,0.2106060606060606,0.2458682343873019
1,1,1,1,1,0,0,0,0,0,0,0,0.2169811320754717,0.2938053097345133,0.19622093023255813,0.21855345911949686,0.3217726396917148,0.20784883720930233,0.24253038467717622
0,0,0,0,0,1,0,0,0,0,0,0,0.222052067381317,0.29711375212224106,0.19658119658119658,0.21439509954058192,0.3165735567970205,0.20512820512820512,0.24197397959176034
1,0,0,0,0,1,0,0,0,0,0,0,0.22686567164179106,0.300163132137031,0.19692737430167598,0.21044776119402986,0.3117117117117117,0.20251396648044692,0.24143826957778106
0,1,0,0,0,1,0,0,0,0,0,0,0.2314410480349345,0.3029827315541601,0.19726027397260273,0.2066957787481805,0.30715532286212915,0.2,0.24092252586200114
1,1,0,0,0,1,0,0,0,0,0,0,0.23579545454545456,0.30559757942511345,0.1975806451612903,0.203125,0.30287648054145516,0.1975806451612903,0.24042596747243397
0,0,1,0,0,1,0,0,0,0,0,0,0.23994452149791956,0.3075801749271137,0.19788918205804748,0.23684210526315788,0.2993421052631579,0.19525065963060687,0.24614145810666724
1,0,1,0,0,1,0,0,0,0,0,0,0.24390243902439024,0.30985915492957744,0.19818652849740934,0.23482428115015974,0.2955271565495208,0.19300518134715025,0.24588412358303466
0,1,1,0,0,1,0,0,0,0,0,0,0.247682119205298,0.3115646258503401,0.1984732824427481,0.2332814930015552,0.29237947122861585,0.23483670295489892,0.2530362824472427
1,1,1,0,0,1,0,0,0,0,0,0,0.25129533678756477,0.31357048748353095,0.19875,0.2314674735249622,0.28895612708018154,0.23600605143721634,0.2533409127189093
0,0,0,1,0,1,0,0,0,0,0,0,0.25475285171102663,0.31545338441890164,0.19901719901719903,0.22974963181148747,0.2857142857142857,0.23711340206185566,0.2536334591224594
1,0,0,1,0,1,0,0,0,0,0,0,0.25806451612903225,0.31722428748451054,0.19927536231884058,0.22812051649928264,0.28263988522238165,0.2381635581061693,0.25391468762670283
0,1,0,1,0,1,0,0,0,0,0,0,0.26123936816524906,0.31889290012033694,0.1995249406175772,0.22657342657342658,0.27972027972027974,0.23916083916083916,0.25418529239295146
1,1,0,1,0,1,0,0,0,0,0,0,0.2642857142857143,0.32046783625730996,0.19976635514018692,0.22510231923601637,0.27694406548431105,0.24010914051841747,0.25444590515365934
0,0,1,1,0,1,0,0,0,0,0,0,0.26721120186697783,0.3215909090909091,0.2,0.224,0.27466666666666667,0.24133333333333334,0.2548003518263145
1,0,1,1,0,1,0,0,0,0,0,0,0.2700228832951945,0.3230088495575221,0.2002262443438914,0.19457013574660634,0.2721354166666667,0.2421875,0.2503585049349802
0,1,1,1,0,1,0,0,0,0,0,0,0.2727272727272727,0.3240043057050592,0.20044543429844097,0.19933184855233854,0.2700636942675159,0.24331210191082803,0.25164744291024255
1,1,1,1,0,1,0,0,0,0,0,0,0.2753303964757709,0.3252885624344176,0.20065789473684212,0.20394736842105263,0.26774595267745954,0.24408468244084683,0.2528424761977316
0,0,0,0,1,1,0,0,0,0,0,0,0.27783783783783783,0.3265097236438076,0.20086393088552915,0.2084233261339093,0.26552984165651644,0.24482338611449453,0.2539980077120158
1,0,0,0,1,1,0,0,0,0,0,0,0.2802547770700637,0.3276723276723277,0.20106382978723406,0.2127659574468085,0.2634088200238379,0.24553039332538737,0.25511601755427654
0,1,0,0,1,1,0,0,0,0,0,0,0.28258602711157454,0.32878048780487806,0.20125786163522014,0.2169811320754717,0.2613768961493582,0.24620770128354727,0.2561983510100083
1,1,0,0,1,1,0,0,0,0,0,0,0.2848360655737705,0.32983794089609153,0.20144628099173553,0.22107438016528927,0.25942857142857145,0.24685714285714286,0.2572467303187669
0,0,1,0,1,1,0,0,0,0,0,0,0.28700906344410876,0.33054003724394787,0.20162932790224034,0.225050916496945,0.257847533632287,0.24775784753363228,0.2583057877088602
1,0,1,0,1,1,0,0,0,0,0,0,0.2891089108910891,0.331511839708561,0.20180722891566266,0.2289156626506024,0.256043956043956,0.24835164835164836,0.2592898744269199
0,1,1,0,1,1,0,0,0,0,0,0,0.2911392405063291,0.3321460373998219,0.201980198019802,0.23267326732673269,0.2545846817691478,0.24919093851132687,0.26028572725552673
1,1,1,0,1,1,0,0,0,0,0,0,0.29310344827586204,0.3330427201394943,0.2021484375,0.236328125,0.2529100529100529,0.24973544973544973,0.2612113722601432
0,0,0,1,1,1,0,0,0,0,0,0,0.295004712535344,0.3339026473099915,0.2023121387283237,0.2398843930635838,0.2512980269989616,0.2502596053997923,0.26211025400599947
1,0,0,1,1,1,0,0,0,0,0,0,0.29684601113172543,0.33472803347280333,0.20247148288973385,0.24334600760456274,0.24974515800203873,0.25076452599388377,0.2629835365157913
0,1,0,1,1,1,0,0,0,0,0,0,0.29863013698630136,0.3355209187858901,0.2026266416510319,0.24671669793621012,0.24824824824824826,0.25125125125125125,0.26383231580982214
1,1,0,1,1,1,0,0,0,0,0,0,0.30035971223021585,0.336283185840708,0.20277777777777778,0.25,0.24680432645034414,0.25172074729596855,0.2646576249325024
0,0,1,1,1,1,0,0,0,0,0,0,0.3020372010628875,0.33675078864353314,0.1975199291408326,0.253199268738574,0.24564796905222436,0.2524177949709865,0.26459549193483967
1,0,1,1,1,1,0,0,0,0,0,0,0.3036649214659686,0.33746130030959753,0.1980802792321117,0.2563176895306859,0.24429657794676807,0.25285171102661597,0.265445413251958
0,1,1,1,1,1,0,0,0,0,0,0,0.30524505588993983,0.33788914198936976,0.19862424763542563,0.25935828877005346,0.2432179607109448,0.25350795135640786,0.2663071077253569
1,1,1,1,1,1,0,0,0,0,0,0,0.30677966101694915,0.33855331841909025,0.19915254237288135,0.2623239436619718,0.24195032198712052,0.25390984360625574,0.26711160517737814
