WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_precision,kaithrun_precision,livsglaedjen_precision,saschalobo_precision,schminktante_precision,spreemieze_precision,precision-avg
0,0,1,0,1,1,1,1,1,0,0,0,0.6875,0.34615384615384615,1.0,0.34615384615384615,0.18181818181818182,0.30303030303030304,0.47744269619269625
1,0,1,0,1,1,1,1,1,0,0,0,0.6875,0.34615384615384615,1.0,0.34615384615384615,0.18181818181818182,0.30303030303030304,0.47744269619269625
0,1,1,0,1,1,1,1,1,0,0,0,0.6875,0.34615384615384615,1.0,0.34615384615384615,0.18181818181818182,0.30303030303030304,0.47744269619269625
1,1,1,0,1,1,1,1,1,0,0,0,0.6875,0.34615384615384615,1.0,0.34615384615384615,0.18181818181818182,0.30303030303030304,0.47744269619269625
0,0,0,1,1,1,1,1,1,0,0,0,0.6875,0.3515625,1.0,0.3515625,0.17964071856287425,0.31137724550898205,0.4802738273453094
1,0,0,1,1,1,1,1,1,0,0,0,0.6875,0.35526315789473684,1.0,0.35526315789473684,0.1782178217821782,0.31683168316831684,0.48217930345666143
0,1,0,1,1,1,1,1,1,0,0,0,0.6875,0.35795454545454547,1.0,0.35795454545454547,0.17721518987341772,0.3206751054852321,0.48354989771129014
1,1,0,1,1,1,1,1,1,0,0,0,0.6875,0.36,1.0,0.36,0.17647058823529413,0.3235294117647059,0.4845833333333333
0,0,1,1,1,1,1,1,1,0,0,0,0.6875,0.3584070796460177,1.0,0.3584070796460177,0.17704918032786884,0.32131147540983607,0.48377913583828996
1,0,1,1,1,1,1,1,1,0,0,0,0.6875,0.35714285714285715,1.0,0.35714285714285715,0.17751479289940827,0.31952662721893493,0.4831378557340096
0,1,1,1,1,1,1,1,1,0,0,0,0.6875,0.35611510791366907,1.0,0.35611510791366907,0.1778975741239892,0.31805929919137466,0.482614514857117
1,1,1,1,1,1,1,1,1,0,0,0,0.6875,0.35526315789473684,1.0,0.35526315789473684,0.1782178217821782,0.31683168316831684,0.48217930345666143
0,0,0,0,0,0,0,0,0,1,0,0,0.6203703703703703,0.35331230283911674,0.9390243902439024,0.3659305993690852,0.17603911980440098,0.31295843520782396,0.46127253630578324
1,0,0,0,0,0,0,0,0,1,0,0,0.5666666666666667,0.3515151515151515,0.8913043478260869,0.37575757575757573,0.6190476190476191,0.30917874396135264,0.5189116841290754
0,1,0,0,0,0,0,0,0,1,0,0,0.5227272727272727,0.3498542274052478,0.8529411764705882,0.3848396501457726,0.5471698113207547,0.3054892601431981,0.4938368997021391
1,1,0,0,0,0,0,0,0,1,0,0,0.4861111111111111,0.34831460674157305,0.8214285714285714,0.39325842696629215,0.5,0.3018867924528302,0.4751665847833963
0,0,1,0,0,0,0,0,0,1,0,0,0.4551282051282051,0.34688346883468835,0.7950819672131147,0.4010840108401084,0.4666666666666667,0.29836829836829837,0.46053543617518033
1,0,1,0,0,0,0,0,0,1,0,0,0.42857142857142855,0.34554973821989526,0.7727272727272727,0.4083769633507853,0.4418604651162791,0.29493087557603687,0.44866945726028296
0,1,1,0,0,0,0,0,0,1,0,0,0.40555555555555556,0.34430379746835443,0.7535211267605634,0.4151898734177215,0.422680412371134,0.29157175398633256,0.4388037532599436
1,1,1,0,0,0,0,0,0,1,0,0,0.3854166666666667,0.3431372549019608,0.7368421052631579,0.4215686274509804,0.4074074074074074,0.2882882882882883,0.43044339166307694
0,0,0,1,0,0,0,0,0,1,0,0,0.36764705882352944,0.342042755344418,0.7222222222222222,0.42755344418052255,0.3949579831932773,0.28507795100222716,0.4232502357943661
1,0,0,1,0,0,0,0,0,1,0,0,0.35185185185185186,0.34101382488479265,0.7093023255813954,0.43317972350230416,0.38461538461538464,0.28193832599118945,0.4169835727378197
0,1,0,1,0,0,0,0,0,1,0,0,0.33771929824561403,0.3400447427293065,0.6978021978021978,0.43847874720357943,0.375886524822695,0.2788671023965142,0.4114664355333179
1,1,0,1,0,0,0,0,0,1,0,0,0.325,0.3391304347826087,0.6875,0.4434782608695652,0.3684210526315789,0.27586206896551724,0.40656530287487835
0,0,1,1,0,0,0,0,0,1,0,0,0.3134920634920635,0.3382663847780127,0.6782178217821783,0.44820295983086683,0.3619631901840491,0.27292110874200426,0.40217725480152905
1,0,1,1,0,0,0,0,0,1,0,0,0.30303030303030304,0.3374485596707819,0.6698113207547169,0.45267489711934156,0.3563218390804598,0.270042194092827,0.3982215189580716
0,1,1,1,0,0,0,0,0,1,0,0,0.29347826086956524,0.3366733466933868,0.6621621621621622,0.45691382765531063,0.35135135135135137,0.267223382045929,0.39463372179628425
1,1,1,1,0,0,0,0,0,1,0,0,0.2847222222222222,0.3359375,0.6551724137931034,0.4609375,0.3469387755102041,0.2644628099173554,0.39136187024048086
0,0,0,0,1,0,0,0,0,1,0,0,0.27666666666666667,0.3352380952380952,0.6487603305785123,0.46476190476190476,0.34299516908212563,0.261758691206544,0.38836347625564144
1,0,0,0,1,0,0,0,0,1,0,0,0.2692307692307692,0.3345724907063197,0.6428571428571429,0.4684014869888476,0.3394495412844037,0.2591093117408907,0.38560345713472904
0,1,0,0,1,0,0,0,0,1,0,0,0.2623456790123457,0.3339382940108893,0.6374045801526718,0.47186932849364793,0.33624454148471616,0.19359534206695778,0.3725662942035381
1,1,0,0,1,0,0,0,0,1,0,0,0.25595238095238093,0.3333333333333333,0.6323529411764706,0.475177304964539,0.3333333333333333,0.19444444444444445,0.37076562303408367
0,0,1,0,1,0,0,0,0,1,0,0,0.25,0.3327556325823224,0.6276595744680851,0.4783362218370884,0.33067729083665337,0.1952191235059761,0.36910797387168753
1,0,1,0,1,0,0,0,0,1,0,0,0.22391857506361323,0.33220338983050846,0.6232876712328768,0.48135593220338985,0.3282442748091603,0.19592875318066158,0.364156432720035
0,1,1,0,1,0,0,0,0,1,0,0,0.22466422466422467,0.33167495854063017,0.6192052980132451,0.4842454394693201,0.326007326007326,0.19658119658119658,0.36372974054599044
1,1,1,0,1,0,0,0,0,1,0,0,0.22535211267605634,0.33116883116883117,0.22535211267605634,0.487012987012987,0.323943661971831,0.19718309859154928,0.29833546734955185
0,0,0,1,1,0,0,0,0,1,0,0,0.22598870056497175,0.33068362480127184,0.22598870056497175,0.48966613672496023,0.3220338983050847,0.1977401129943503,0.2986835289926018
1,0,0,1,1,0,0,0,0,1,0,0,0.22657952069716775,0.3302180685358255,0.22657952069716775,0.49221183800623053,0.3202614379084967,0.19825708061002179,0.2990179110758184
0,1,0,1,1,0,0,0,0,1,0,0,0.22712933753943218,0.3297709923664122,0.22712933753943218,0.4946564885496183,0.3186119873817035,0.19873817034700317,0.29933938562060025
1,1,0,1,1,0,0,0,0,1,0,0,0.22764227642276422,0.32934131736526945,0.22764227642276422,0.49700598802395207,0.3170731707317073,0.1991869918699187,0.299648670139396
0,0,1,1,1,0,0,0,0,1,0,0,0.22812192723697147,0.328928046989721,0.22812192723697147,0.49926578560939794,0.31563421828908556,0.19960668633235004,0.2999464319490829
1,0,1,1,1,0,0,0,0,1,0,0,0.22857142857142856,0.3285302593659942,0.22857142857142856,0.5014409221902018,0.3142857142857143,0.2,0.3002332921641279
0,1,1,1,1,0,0,0,0,1,0,0,0.22899353647276086,0.32814710042432815,0.22899353647276086,0.5035360678925035,0.31301939058171746,0.20036934441366575,0.3005098293762894
1,1,1,1,1,0,0,0,0,1,0,0,0.22939068100358423,0.3277777777777778,0.22939068100358423,0.5055555555555555,0.3118279569892473,0.2007168458781362,0.30077658303464755
0,0,0,0,0,1,0,0,0,1,0,0,0.2297650130548303,0.3274215552523875,0.2297650130548303,0.5075034106412005,0.31070496083550914,0.2010443864229765,0.30103405654362236
1,0,0,0,0,1,0,0,0,1,0,0,0.23011844331641285,0.32707774798927614,0.23011844331641285,0.5093833780160858,0.3096446700507614,0.20135363790186125,0.30128272009846835
