WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_precision,kaithrun_precision,livsglaedjen_precision,saschalobo_precision,schminktante_precision,spreemieze_precision,precision-avg
0,0,1,0,0,0,1,1,1,0,0,1,0.6875,0.25862068965517243,1.0,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.4306752873563218
1,0,1,0,0,0,1,1,1,0,0,1,0.7,0.25862068965517243,0.9333333333333333,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.4216475095785441
0,1,1,0,0,0,1,1,1,0,0,1,0.6666666666666666,0.25862068965517243,0.9473684210526315,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.41843113530953824
1,1,1,0,0,0,1,1,1,0,0,1,0.6774193548387096,0.25862068965517243,0.9259259259259259,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.4166495008170945
0,0,0,1,0,0,1,1,1,0,0,1,0.6625,0.25862068965517243,0.3375,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.3160919540229885
1,0,0,1,0,0,1,1,1,0,0,1,0.6136363636363636,0.25862068965517243,0.38636363636363635,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.3160919540229885
0,1,0,1,0,0,1,1,1,0,0,1,0.6132075471698113,0.25862068965517243,0.3867924528301887,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.31609195402298845
1,1,0,1,0,0,1,1,1,0,0,1,0.5789473684210527,0.25862068965517243,0.42105263157894735,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.31609195402298845
0,0,1,1,0,0,1,1,1,0,0,1,0.5833333333333334,0.25862068965517243,0.4166666666666667,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.3160919540229885
1,0,1,1,0,0,1,1,1,0,0,1,0.5958904109589042,0.25862068965517243,0.4041095890410959,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.3160919540229885
0,1,1,1,0,0,1,1,1,0,0,1,0.5975609756097561,0.25862068965517243,0.4024390243902439,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.3160919540229885
1,1,1,1,0,0,1,1,1,0,0,1,0.6067415730337079,0.25862068965517243,0.39325842696629215,0.25862068965517243,0.1206896551724138,0.25862068965517243,0.3160919540229885
