WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_precision,kaithrun_precision,livsglaedjen_precision,saschalobo_precision,schminktante_precision,spreemieze_precision,precision-avg
0,0,1,1,1,0,1,1,1,0,1,0,0.8461538461538461,0.38461538461538464,0.8333333333333334,0.5,0.5,0.38461538461538464,0.5747863247863249
1,0,1,1,1,0,1,1,1,0,1,0,0.8461538461538461,0.38461538461538464,0.8333333333333334,0.5,0.5,0.38461538461538464,0.5747863247863249
0,1,1,1,1,0,1,1,1,0,1,0,0.8461538461538461,0.38461538461538464,0.8333333333333334,0.5,0.5,0.38461538461538464,0.5747863247863249
1,1,1,1,1,0,1,1,1,0,1,0,0.8723404255319149,0.38461538461538464,1.0,0.5,0.5,0.38461538461538464,0.6069285324604473
0,0,0,0,0,1,1,1,1,0,1,0,0.6833333333333333,0.36809815950920244,0.4461538461538462,0.45794392523364486,0.5420560747663551,0.36809815950920244,0.4776139164175974
1,0,0,0,0,1,1,1,1,0,1,0,0.5616438356164384,0.35294117647058826,0.3333333333333333,0.423728813559322,0.576271186440678,0.35294117647058826,0.43347658698182473
0,1,0,0,0,1,1,1,1,0,1,0,0.47674418604651164,0.3389830508474576,0.2847682119205298,0.3953488372093023,0.6046511627906976,0.3389830508474576,0.4065797499436594
1,1,0,0,0,1,1,1,1,0,1,0,0.6455696202531646,0.30927835051546393,0.25773195876288657,0.37142857142857144,0.6285714285714286,0.30927835051546393,0.42030971334116324
0,0,1,0,0,1,1,1,1,0,1,0,0.6739130434782609,0.31645569620253167,0.24050632911392406,0.49107142857142855,0.6490066225165563,0.31645569620253167,0.44790146934753877
1,0,1,0,0,1,1,1,1,0,1,0,0.6952380952380952,0.32142857142857145,0.22857142857142856,0.528,0.6666666666666666,0.32142857142857145,0.46022222222222225
0,1,1,0,0,1,1,1,1,0,1,0,0.711864406779661,0.32507739938080493,0.21981424148606812,0.5579710144927537,0.6820809248554913,0.32507739938080493,0.47031423106259734
1,1,1,0,0,1,1,1,1,0,1,0,0.7251908396946565,0.32786885245901637,0.21311475409836064,0.5827814569536424,0.6956521739130435,0.32786885245901637,0.4787461549296226
0,0,0,1,0,1,1,1,1,0,1,0,0.7361111111111112,0.33007334963325186,0.2078239608801956,0.6036585365853658,0.7076923076923077,0.33007334963325186,0.4859054359225807
1,0,0,1,0,1,1,1,1,0,1,0,0.7452229299363057,0.33185840707964603,0.20353982300884957,0.6214689265536724,0.7184466019417476,0.33185840707964603,0.49206584926664454
0,1,0,1,0,1,1,1,1,0,1,0,0.7529411764705882,0.3333333333333333,0.2,0.6368421052631579,0.728110599078341,0.3333333333333333,0.4974267579131256
1,1,0,1,0,1,1,1,1,0,1,0,0.7595628415300546,0.3345724907063197,0.1970260223048327,0.6502463054187192,0.7368421052631579,0.3345724907063197,0.5021370426549007
0,0,1,1,0,1,1,1,1,0,1,0,0.7653061224489796,0.33562822719449226,0.1944922547332186,0.6620370370370371,0.7447698744769874,0.33562822719449226,0.5063102905142013
1,0,1,1,0,1,1,1,1,0,1,0,0.7703349282296651,0.33653846153846156,0.19230769230769232,0.6724890829694323,0.752,0.33653846153846156,0.5100347710972856
0,1,1,1,0,1,1,1,1,0,1,0,0.7747747747747747,0.3373313343328336,0.1904047976011994,0.6818181818181818,0.7586206896551724,0.3373313343328336,0.5133801854191659
1,1,1,1,0,1,1,1,1,0,1,0,0.7787234042553192,0.3380281690140845,0.18873239436619718,0.6901960784313725,0.7647058823529411,0.3380281690140845,0.5164023495723332
0,0,0,0,1,1,1,1,1,0,1,0,0.782258064516129,0.3386454183266932,0.18725099601593626,0.6977611940298507,0.7703180212014135,0.3386454183266932,0.5191465187361194
1,0,0,0,1,1,1,1,1,0,1,0,0.7854406130268199,0.3391959798994975,0.18592964824120603,0.7046263345195729,0.7755102040816326,0.3391959798994975,0.5216497932780377
0,1,0,0,1,1,1,1,1,0,1,0,0.7883211678832117,0.3396901072705602,0.18474374255065554,0.7108843537414966,0.780327868852459,0.3396901072705602,0.5239428912614905
1,1,0,0,1,1,1,1,1,0,1,0,0.7909407665505227,0.3401360544217687,0.1836734693877551,0.7166123778501629,0.7848101265822784,0.3401360544217687,0.5260514748690427
0,0,1,0,1,1,1,1,1,0,1,0,0.7933333333333333,0.34054054054054056,0.1827027027027027,0.721875,0.7889908256880734,0.34054054054054056,0.5279971571341985
1,0,1,0,1,1,1,1,1,0,1,0,0.7955271565495208,0.3409090909090909,0.18181818181818182,0.7267267267267268,0.7928994082840237,0.3409090909090909,0.5297982758661058
0,1,1,0,1,1,1,1,1,0,1,0,0.7975460122699386,0.34124629080118696,0.18100890207715134,0.7312138728323699,0.7965616045845272,0.34124629080118696,0.5314704955610602
1,1,1,0,1,1,1,1,1,0,1,0,0.799410029498525,0.3415559772296015,0.18026565464895636,0.7353760445682451,0.8,0.3415559772296015,0.533027280529155
0,0,0,1,1,1,1,1,1,0,1,0,0.8011363636363636,0.34184138559708294,0.17958067456700091,0.739247311827957,0.8032345013477089,0.34184138559708294,0.534480270428866
1,0,0,1,1,1,1,1,1,0,1,0,0.8027397260273973,0.34210526315789475,0.17894736842105263,0.7428571428571429,0.806282722513089,0.34210526315789475,0.5358395810224118
0,1,0,1,1,1,1,1,1,0,1,0,0.8042328042328042,0.3423499577345731,0.17836010143702452,0.7462311557788944,0.8091603053435115,0.3423499577345731,0.5371140470435635
1,1,0,1,1,1,1,1,1,0,1,0,0.8056265984654731,0.3425774877650897,0.17781402936378465,0.7493917274939172,0.8118811881188119,0.3425774877650897,0.5383114198286943
0,0,1,1,1,1,1,1,1,0,1,0,0.806930693069307,0.34278959810874704,0.1773049645390071,0.7523584905660378,0.8144578313253013,0.34278959810874704,0.5394385292861913
1,0,1,1,1,1,1,1,1,0,1,0,0.8081534772182254,0.3429878048780488,0.17682926829268292,0.7551487414187643,0.8169014084507042,0.3429878048780488,0.5405014175227457
0,1,1,1,1,1,1,1,1,0,1,0,0.8093023255813954,0.34317343173431736,0.17638376383763837,0.7577777777777778,0.8192219679633868,0.34317343173431736,0.5415054497714722
1,1,1,1,1,1,1,1,1,0,1,0,0.8103837471783296,0.34334763948497854,0.1759656652360515,0.7602591792656588,0.8214285714285714,0.34334763948497854,0.5424554070130947
0,0,0,0,0,0,0,0,0,1,1,0,0.7710084033613446,0.3421240199572345,0.17605131860299358,0.7563025210084033,0.8052516411378556,0.3421240199572345,0.5321436540041777
1,0,0,0,0,0,0,0,0,1,1,0,0.7367387033398821,0.3409090909090909,0.17613636363636365,0.7525562372188139,0.7896995708154506,0.3409090909090909,0.522824842804782
0,1,0,0,0,0,0,0,0,1,1,0,0.7066420664206642,0.33970276008492567,0.1762208067940552,0.749003984063745,0.7747368421052632,0.33970276008492567,0.5143348699255964
1,1,0,0,0,0,0,0,0,1,1,0,0.68,0.3385049365303244,0.1763046544428773,0.7456310679611651,0.7603305785123967,0.3385049365303244,0.5065460289961813
