WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_precision,kaithrun_precision,livsglaedjen_precision,saschalobo_precision,schminktante_precision,spreemieze_precision,precision-avg
0,0,1,1,0,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,0,1,1,0,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,1,1,1,0,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,1,1,1,0,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,0,0,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,0,0,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,1,0,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,1,0,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,0,1,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,0,1,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,1,1,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,1,1,0,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,0,0,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,0,0,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,1,0,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,1,0,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,0,1,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,0,1,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,1,1,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
1,1,1,1,1,1,0,1,1,0,1,1,0.6153846153846154,0.4166666666666667,0.5714285714285714,0.8461538461538461,0.9090909090909091,0.3055555555555556,0.6107133607133607
0,0,0,0,0,0,1,1,1,0,1,1,0.6052631578947368,0.4155124653739612,0.515527950310559,0.8058608058608059,0.8688524590163934,0.3047091412742382,0.5859543299551158
1,0,0,0,0,0,1,1,1,0,1,1,0.5912408759124088,0.40816326530612246,0.4696132596685083,0.8,0.835820895522388,0.29931972789115646,0.567359670716764
0,1,0,0,0,0,1,1,1,0,1,1,0.5759717314487632,0.40705563093622793,0.4314214463840399,0.7638888888888888,0.8082191780821918,0.29850746268656714,0.5475107230711131
